frame_number,id,group_name,group_num,x,y,width,height,isDeputy,confidence,isGT,Pitch,Roll,Yaw
341,0,0,0,0.34792,0.21111,0.23750,0.31667,-1,1.00000,-1,4.61725,-1.62990,-52.55653
347,0,0,0,0.39931,0.21759,0.23958,0.32037,-1,1.00000,-1,-0.70317,3.10420,-66.68290
353,0,0,0,0.42778,0.27500,0.24583,0.32778,-1,1.00000,-1,-8.62170,-7.96698,-61.00920
359,0,0,0,0.40833,0.37870,0.23403,0.31204,-1,1.00000,-1,-6.69312,-10.73304,-58.32055
365,0,0,0,0.38056,0.44907,0.23264,0.30926,-1,1.00000,-1,-10.95248,-12.28162,-47.72536
371,0,0,0,0.37014,0.42870,0.24028,0.32130,-1,1.00000,-1,-11.93618,-13.49513,-46.94765
377,0,0,0,0.36458,0.41019,0.24028,0.32037,-1,1.00000,-1,-13.96509,-12.09912,-38.91873
383,0,0,0,0.37708,0.40000,0.22986,0.30648,-1,1.00000,-1,-9.41295,-9.75180,-32.99054
389,0,0,0,0.37778,0.40463,0.22847,0.30370,-1,1.00000,-1,-11.89098,-8.89891,-28.85401
395,0,0,0,0.37153,0.40556,0.22778,0.30370,-1,1.00000,-1,-16.60751,-6.58228,-19.43963
401,0,0,0,0.36319,0.40370,0.22917,0.30463,-1,1.00000,-1,-16.40839,-7.46382,-17.86519
407,0,0,0,0.32292,0.39537,0.22292,0.29722,-1,1.00000,-1,-12.50910,-13.78770,-35.52258
413,0,0,0,0.27569,0.36204,0.24306,0.32407,-1,1.00000,-1,-16.82479,-12.38555,-58.33670
419,0,0,0,0.30069,0.34537,0.24236,0.32407,-1,1.00000,-1,-13.24050,-18.39616,-66.74609
425,0,0,0,0.39861,0.36667,0.22917,0.30556,-1,1.00000,-1,-11.76274,-15.07952,-53.77015
431,0,0,0,0.48750,0.42315,0.22708,0.30278,-1,1.00000,-1,-8.25454,-3.92070,-75.48762
575,0,0,0,0.42292,0.39537,0.25000,0.33426,-1,1.00000,-1,-14.12728,-4.56596,-6.04112
581,0,0,0,0.37083,0.45370,0.23056,0.30741,-1,1.00000,-1,-21.97046,-4.85149,-16.78740
587,0,0,0,0.37222,0.47130,0.23542,0.31296,-1,1.00000,-1,-23.06527,-3.23693,-8.40779
593,0,0,0,0.39167,0.47315,0.22083,0.29352,-1,1.00000,-1,-22.18757,-6.12890,-11.79862
599,0,0,0,0.40972,0.47130,0.20972,0.27963,-1,1.00000,-1,-24.94114,-7.48157,-17.10534
605,0,0,0,0.40764,0.47222,0.20694,0.27685,-1,1.00000,-1,-23.53521,-5.86236,-15.59877
611,0,0,0,0.38403,0.44167,0.20833,0.27778,-1,1.00000,-1,-21.03681,-7.26108,-22.60641
617,0,0,0,0.37153,0.42778,0.19722,0.26296,-1,1.00000,-1,-21.62988,-7.47588,-26.01342
623,0,0,0,0.35625,0.42037,0.20278,0.27037,-1,1.00000,-1,-18.32112,-6.29992,-25.60444
629,0,0,0,0.37014,0.42130,0.20278,0.26944,-1,1.00000,-1,-19.94912,-9.00496,-19.88003
635,0,0,0,0.38750,0.41111,0.20833,0.27778,-1,1.00000,-1,-17.60301,-9.75741,-20.75764
641,0,0,0,0.39028,0.40093,0.21667,0.28889,-1,1.00000,-1,-17.86366,-6.18886,-17.63783
647,0,0,0,0.40486,0.40741,0.21250,0.28241,-1,1.00000,-1,-18.74699,-8.14900,-24.98831
653,0,0,0,0.41389,0.40185,0.21111,0.28148,-1,1.00000,-1,-17.63354,-7.57281,-19.57084
659,0,0,0,0.41944,0.40278,0.21042,0.28056,-1,1.00000,-1,-18.51531,-6.31543,-19.69391
695,0,0,0,0.56458,0.32037,0.08264,0.10926,-1,1.00000,-1,2.02782,-4.59225,-41.51375
737,0,0,0,0.40625,0.46296,0.19514,0.26019,-1,1.00000,-1,-17.61450,-3.23996,-17.13648
743,0,0,0,0.42083,0.47593,0.19653,0.26204,-1,1.00000,-1,-17.90818,-0.60518,-20.15791
749,0,0,0,0.43542,0.45370,0.19375,0.25833,-1,1.00000,-1,-16.22877,-6.98917,-21.11917
755,0,0,0,0.42431,0.44074,0.20556,0.27407,-1,1.00000,-1,-14.14000,-4.14812,-23.18518
761,0,0,0,0.40764,0.38241,0.22014,0.29259,-1,1.00000,-1,-13.38341,-9.85345,-34.35721
767,0,0,0,0.39167,0.34722,0.22569,0.30185,-1,1.00000,-1,-14.27233,-8.13533,-57.73703
773,0,0,0,0.38958,0.24722,0.24236,0.32407,-1,1.00000,-1,-6.35843,-3.40912,-38.78922
779,0,0,0,0.39861,0.24907,0.24306,0.32407,-1,1.00000,-1,-6.09491,-3.31067,-33.55642
785,0,0,0,0.40694,0.31111,0.22500,0.30000,-1,1.00000,-1,-6.57071,-6.81944,-39.78790
791,0,0,0,0.43125,0.44722,0.19514,0.26019,-1,1.00000,-1,-10.81550,-10.90407,-35.20491
797,0,0,0,0.42222,0.46574,0.19722,0.26296,-1,1.00000,-1,-14.47634,-10.82138,-35.76179
