frame_number,id,group_name,group_num,x,y,width,height,isDeputy,confidence,isGT,Pitch,Roll,Yaw
125,0,0,0,0.50347,0.34722,0.24306,0.32407,-1,1.00000,-1,-3.19241,-3.09515,-16.53512
131,0,0,0,0.50000,0.34259,0.24931,0.33148,-1,1.00000,-1,-7.13987,-0.82269,-18.20543
137,0,0,0,0.49514,0.34259,0.25903,0.34537,-1,1.00000,-1,-7.16379,-2.00364,-18.25592
143,0,0,0,0.49722,0.34722,0.25208,0.33611,-1,1.00000,-1,-3.18468,-2.89313,-15.66513
149,0,0,0,0.49167,0.32037,0.26458,0.35278,-1,1.00000,-1,-4.96586,-0.55899,-19.98134
155,0,0,0,0.49722,0.30833,0.26319,0.35093,-1,1.00000,-1,-3.53261,-1.00177,-17.85128
161,0,0,0,0.49722,0.30833,0.25972,0.34630,-1,1.00000,-1,-3.36350,-1.65722,-16.00112
167,0,0,0,0.49514,0.31944,0.26389,0.35185,-1,1.00000,-1,-5.77983,0.15258,-17.50114
173,0,0,0,0.49653,0.32222,0.26250,0.35093,-1,1.00000,-1,-5.44634,-1.23129,-17.89741
179,0,0,0,0.49931,0.31481,0.25347,0.33796,-1,1.00000,-1,-4.35565,0.72256,-18.12892
185,0,0,0,0.49583,0.30278,0.26181,0.34907,-1,1.00000,-1,-2.85501,-1.48590,-19.47308
191,0,0,0,0.49653,0.30000,0.26181,0.34907,-1,1.00000,-1,-2.34626,-2.36319,-20.16163
197,0,0,0,0.48889,0.31944,0.26944,0.35926,-1,1.00000,-1,-6.40798,-2.48751,-17.92075
203,0,0,0,0.49028,0.31944,0.26458,0.35278,-1,1.00000,-1,-5.85854,-0.13432,-20.30886
209,0,0,0,0.49931,0.32870,0.25417,0.33889,-1,1.00000,-1,-5.13005,-1.34993,-18.38180
215,0,0,0,0.51181,0.33796,0.22778,0.30370,-1,1.00000,-1,-3.21561,-2.39114,-17.60823
221,0,0,0,0.48750,0.32130,0.26736,0.35648,-1,1.00000,-1,-4.73501,-2.36006,-19.87045
227,0,0,0,0.50000,0.34722,0.24653,0.32870,-1,1.00000,-1,-5.42099,-3.51994,-16.28782
233,0,0,0,0.49097,0.34444,0.26389,0.35185,-1,1.00000,-1,-3.91965,-3.29020,-16.28415
239,0,0,0,0.48889,0.34074,0.26944,0.36019,-1,1.00000,-1,-5.29675,-3.04828,-16.04768
245,0,0,0,0.50278,0.36944,0.24306,0.32500,-1,1.00000,-1,-6.58842,-4.36850,-15.86847
251,0,0,0,0.49792,0.36759,0.24931,0.33241,-1,1.00000,-1,-5.78810,-4.39775,-15.41022
257,0,0,0,0.50208,0.37500,0.24236,0.32222,-1,1.00000,-1,-6.35070,-3.02952,-17.75048
263,0,0,0,0.50208,0.37315,0.24236,0.32315,-1,1.00000,-1,-6.72339,-3.51826,-16.44241
269,0,0,0,0.50139,0.37593,0.23958,0.31944,-1,1.00000,-1,-6.87885,-3.70212,-17.94796
275,0,0,0,0.49792,0.37222,0.24236,0.32315,-1,1.00000,-1,-6.39387,-3.51218,-18.74068
281,0,0,0,0.48403,0.31296,0.27778,0.37130,-1,1.00000,-1,-1.50369,-3.23881,-15.35850
